Datetime,Scramble,TotalTime,PlanMistake,MemoMistake,DoMistake,PlanTime,MemoTime,MemoRecallTime,DoTime
2025-08-01 17:21:17.265858,M2 U M2 U2 M2 U M2,3.186,,,0,0,0,0,3.186
2025-08-01 17:22:39.102333,D F2 R2 F R2 F2 U2 L2 R2 F U2 L2 F2 L R2 D' U' L' R' U' B,170.482,,,0,0,0,0,170.482
2025-08-01 18:06:52.095807,U L U2 F2 R D2 L U2 R U2 F2 R' F U2 F2 R2 D L R' B,177.711,1,,,177.711,0,0,0
2025-08-01 18:11:55.902408,U R L' D2 B U R' U R2 B2 U R2 U L2 B2 D2 L2 F2 U2 R B2,145.792,0,,,145.792,0,0,0
2025-08-01 18:55:24.083933,D2 B' L2 D2 U2 B U2 B L2 F2 L2 F2 D' B2 L U F' L2 F2 L' D',199.967,1,,,199.967,0,0,0
2025-08-01 19:00:07.659417,D' B2 D B2 U2 L2 U' F2 R2 U' B' F' U B F R D2 L' F' U2,188.876,1,,,188.876,0,0,0
2025-08-01 19:06:28.949616,D2 F R2 F' R2 F' D2 L2 R2 B D2 L' B' U' L' B D2 B' R2 F,136.109,0,,,136.109,0,0,0
2025-08-01 19:10:48.178407,U B2 L2 U2 F2 R2 D' B2 L2 B2 L' B D2 F' U F2 D' R U2 R',199.71,,,0,0,0,0,199.71
2025-08-01 19:15:25.309495,U B2 L2 U2 F2 R2 D' B2 L2 B2 L' B D2 F' U F2 D' R U2 R',274.525,,1,,0,218.973,55.552,0
2025-08-01 19:21:32.751943,D2 B' L' U2 D R' U R2 B2 L' F2 D2 R2 D2 L' B2 L D2 R' B' U2,190.696,,1,,0,133.758,56.938,0
2025-08-01 20:31:08.675366,U2 R U2 L' B2 D2 F' L2 F2 U L2 D B2 U' B2 D B2 U' F' R F2,204.811,,1,,0,118.177,86.634,0
2025-08-01 20:35:14.561530,F2 R2 U' L2 D' U L2 F2 L2 U' L' B2 R U F' U F' D' F R,235.364,,1,,0,150.473,84.891,0
2025-08-01 20:40:42.161280,B R2 B' U2 B L2 B U2 R2 B U2 D F2 U R D' L' B' L2 D,321.088,,1,,0,217.459,103.629,0
2025-08-01 20:46:33.462195,L D' L' D2 F2 D2 L' B2 R' D2 B2 R' D2 L2 D' R B L' D F U2,225.042,,0,,0,174.295,50.747,0
2025-08-01 20:52:34.078215,D F2 D2 U' B2 D2 R2 U R2 U' L B' F U' B' R B U L2 U',222.263,,,0,0,0,0,222.263
2025-08-01 20:56:53.455475,B2 R' B2 L' D2 F D' R' B' D2 B2 L' B2 L' F2 L2 F2 U2 R2,185.459,1,,,185.459,0,0,0
